region,structure_coeff,canonical_weight,abs_structure_coeff
S_temporal_transverse_lh,0.43072813981161695,0.010100440743386724,0.43072813981161695
S_precentral-inf-part_rh,0.43071898759651417,0.0642908559532696,0.43071898759651417
G_cingul-Post-dorsal_rh,0.4297803177383467,0.07363414585571693,0.4297803177383467
G_temp_sup-G_T_transv_rh,0.42910675438402673,-0.07826078414574293,0.42910675438402673
S_temporal_transverse_rh,0.4290473330031606,-0.07129805076527862,0.4290473330031606
G_and_S_cingul-Ant_rh,0.4271577412205948,-0.1379954258446883,0.4271577412205948
G_front_sup_lh,0.4269013218210843,-0.04957062496085528,0.4269013218210843
G_and_S_transv_frontopol_rh,0.4260832882364488,-0.04541317612796613,0.4260832882364488
G_subcallosal_lh,0.42585400118891686,-0.0070723395438823805,0.42585400118891686
G_postcentral_rh,0.42561701222279297,0.08982537271400448,0.42561701222279297
G_orbital_rh,0.4255663441296532,-0.17694194299437682,0.4255663441296532
G_precentral_lh,0.4245446332830861,0.06024457542455054,0.4245446332830861
Pole_occipital_rh,0.4238065285281177,-0.15183936857512778,0.4238065285281177
G_temp_sup-Plan_tempo_rh,0.422418631970259,-0.07162698369092949,0.422418631970259
S_temporal_inf_rh,0.4222729607766952,-0.009571839866603522,0.4222729607766952
Lat_Fis-post_rh,0.4217096571802955,0.19927824510911277,0.4217096571802955
S_interm_prim-Jensen_lh,0.42116610300765284,-0.03202217135975354,0.42116610300765284
S_oc_middle_and_Lunatus_rh,0.4211142791271547,-0.01775591675241067,0.4211142791271547
S_subparietal_rh,0.42104369904871575,-0.07380978119426215,0.42104369904871575
S_orbital_lateral_lh,0.4208490713496391,0.003261376633987164,0.4208490713496391
S_occipital_ant_rh,0.42015666488065684,-0.03795910994038879,0.42015666488065684
S_intrapariet_and_P_trans_rh,0.4190428513367264,-0.03997616364104359,0.4190428513367264
G_insular_short_rh,0.41885367078753655,0.023404474099372526,0.41885367078753655
Lat_Fis-post_lh,0.41841865381220505,-0.060183985706087115,0.41841865381220505
S_precentral-sup-part_lh,0.41840655553554074,-0.07874674000985651,0.41840655553554074
S_circular_insula_ant_rh,0.41802373404035154,-0.04732120980794232,0.41802373404035154
G_front_sup_rh,0.41779682712239324,0.06443899402930646,0.41779682712239324
Lat_Fis-ant-Horizont_rh,0.4170248632813062,-0.09119344362315655,0.4170248632813062
Pole_temporal_rh,0.41665507773785926,-0.10486497026349266,0.41665507773785926
S_suborbital_lh,0.4128237405436396,-0.004287861308427531,0.4128237405436396
S_oc_sup_and_transversal_rh,0.4119770637189685,0.12355358359418953,0.4119770637189685
S_cingul-Marginalis_rh,0.41024071250573935,-0.05625529599522668,0.41024071250573935
G_oc-temp_med-Lingual_rh,0.4079991826606663,-0.03145986954580762,0.4079991826606663
G_and_S_paracentral_rh,0.4067371288869166,0.10775622463716832,0.4067371288869166
S_postcentral_rh,0.4062820742907111,0.05538559531146226,0.4062820742907111
G_and_S_subcentral_rh,0.4043890278769494,0.09747534246523287,0.4043890278769494
S_calcarine_rh,0.4027059583717127,0.09395064246549027,0.4027059583717127
S_front_middle_rh,0.4025831903408573,0.015374180825666746,0.4025831903408573
G_and_S_cingul-Mid-Post_rh,0.3998304867552146,0.013384612395318091,0.3998304867552146
S_suborbital_rh,0.3991230358976018,0.0928892485917778,0.3991230358976018
S_interm_prim-Jensen_rh,0.39739484961873006,0.12309063938736398,0.39739484961873006
G_and_S_cingul-Mid-Ant_rh,0.3939483058221217,0.12182329272797862,0.3939483058221217
G_subcallosal_rh,0.39212515280403637,0.10026476506126153,0.39212515280403637
S_parieto_occipital_rh,0.3908374392454055,-0.09304757773421021,0.3908374392454055
Lat_Fis-ant-Vertical_rh,0.3904068224125681,0.03076698983951049,0.3904068224125681
G_precentral_rh,0.3894282186326531,0.05619870939417668,0.3894282186326531
G_front_inf-Orbital_rh,0.38933479853678005,0.02445417521241632,0.38933479853678005
S_collat_transv_post_rh,0.38927393477220795,0.006064093482474471,0.38927393477220795
G_and_S_frontomargin_rh,0.38865423327644294,0.08215832413455727,0.38865423327644294
S_front_inf_rh,0.38797995419936493,-0.16586936335763947,0.38797995419936493
S_orbital_med-olfact_rh,0.3869846920143771,0.062020618820094985,0.3869846920143771
S_central_rh,0.3825366435107603,-0.07306133384171604,0.3825366435107603
G_front_inf-Triangul_rh,0.38231717422193523,-0.1368476587356769,0.38231717422193523
G_and_S_occipital_inf_rh,0.375448386215268,-0.052675596364467295,0.375448386215268
G_and_S_subcentral_lh,0.36464007114391195,-0.096691466494024,0.36464007114391195
G_and_S_transv_frontopol_lh,0.36280568897415,0.04686161567305353,0.36280568897415
S_orbital_lateral_rh,0.3608575691827746,-0.0076913304946407786,0.3608575691827746
G_rectus_rh,0.35970272423793975,-0.07421115677991043,0.35970272423793975
S_pericallosal_rh,0.3593933696569208,-0.08707118384300806,0.3593933696569208
S_precentral-sup-part_rh,0.3036564747579096,-0.08923062029934913,0.3036564747579096
